Model,Case,Time (s),Time (score),Detection,Analysis,Fix,Practicality,Final Score,Notes,,,
Deepseek (DeepThink),DST_A_C5_R2,101.32,1,7,9,8,8,73,"Incredible analysis, lacking detection and complex fix",,,
Deepseek (DeepThink),DST_A_C5_R1,113.62,1,7,9,9,9,77,Incredible analysis with good fix but lacking detection,,,
Deepseek (DeepThink),DST_A_C4_R2,139,1,8,7,8,9,73.5,Overcomplicated analysis with simple fix,,,
Deepseek (DeepThink),DST_A_C4_R1,154,1,7,8,7,9,70,"Fix kept the system call, laking technical details in analysis",,,
Deepseek (DeepThink),DST_A_C3_R2,277,0,7,7,6,7,60.5,"Terrible Fix, did not patch fully and analysis is wrong ",,,
Deepseek (DeepThink),DST_A_C3_R1,330,0,7,6,5,8,57.5,"Terrible Fix, did not patch fully and analysis is wrong ",,,
Deepseek (DeepThink),DST_A_C2_R2,168.82,0,9,8,10,10,83,"Gold patch, good analysis but lacks ofensive vision",,,
Deepseek (DeepThink),DST_A_C2_R1,185.94,0,8,9,9,10,79.5,"gold patch, good analysis but lacks ofensive vision",,,
Deepseek (DeepThink),DST_A_C1_R2,167.75,0,7,9,9,10,76.5,"bad detection, gold patch",,,
Deepseek (DeepThink),DST_A_C1_R1,154.69,0,8,9,9,9,78,Great analysis with good fix not changing the code to much,,,
Gemini 3 (Thinking),G3_A_C5_R2,32.12,3,8,10,9,9,86,Realy Great overall,,,
Gemini 3 (Thinking),G3_A_C5_R1,32.38,3,7,10,9,9,83,Great analysis with good fix,,,
Gemini 3 (Thinking),G3_A_C4_R2,36.5,3,9,8,9,9,85,"Talks too much, lacks offensive aproach",,,
Gemini 3 (Thinking),G3_A_C4_R1,33.73,3,8,7,7,8,73.5,"kept shell and missed a vuln,",,,
Gemini 3 (Thinking),G3_A_C3_R2,46.91,2,10,9,7,8,81.5,Perfect detection  but mediocre fix,,,
Gemini 3 (Thinking),G3_A_C3_R1,29.53,3,9,9,7,8,80.5,mediocre fix but good detection and analysis,,,
Gemini 3 (Thinking),G3_A_C2_R2,31.53,3,9,10,10,10,94,Perfect Run + 1 point,,,
Gemini 3 (Thinking),G3_A_C2_R1,27.85,3,9,10,7,9,84,"simple fix but left the shell spawning function, good analysis",,,
Gemini 3 (Thinking),G3_A_C1_R2,32.29,3,8,10,9,8,84.5,"Lacking detection, perfect analysis with payload exemple",,,
Gemini 3 (Thinking),G3_A_C1_R1,33.42,3,10,9,9,8,88.5,"Analysis forgot certian points, overall great",,,
Claude Opus 4.6,CO4.6_A_C5_R2,69.08,2,10,9,10,10,92,Perfect detection and fix with good comments and modifications,,,
Claude Opus 4.6,CO4.6_A_C5_R1,85.89,1,9,8,9,9,81,Overcomplex annalysis but good overall and good for offensive security,,,
Claude Opus 4.6,CO4.6_A_C4_R2,96.95,1,7,8,8,8,71,missed a vulnerability to detect and fix,,,
Claude Opus 4.6,CO4.6_A_C4_R1,88.09,1,9,9,9,9,83,Very good overall,,,
Claude Opus 4.6,CO4.6_A_C3_R2,82.15,1,8,9,9,8,78.5,"very good offensive tips and examle, comlicated fix",,,
Claude Opus 4.6,CO4.6_A_C3_R1,93.59,1,8,10,8,7,76.5,gret analysis but overcomplicated fix leaving SUID bit escalation,,,
Claude Opus 4.6,CO4.6_A_C2_R2,49.41,2,8,9,9,8,80.5,"good offensive perspective, fix could be simpler",,,
Claude Opus 4.6,CO4.6_A_C2_R1,68.66,2,8,10,7,7,76,good offensive perspective but overcomplicated fix,,,
Claude Opus 4.6,CO4.6_A_C1_R2,74.87,1,8,10,9,8,80.5,"Good patch but added complexity, great offensive aspect",,,
Claude Opus 4.6,CO4.6_A_C1_R1,58.37,2,8,10,9,8,82.5,"Good patch but added complexity, great offensive aspect",,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,
